Section,Question,Answer
General Admissions,I have an offer to the university but I would like to change my program. How do I do that?,"If you would like to change your program choice, you may do one of two things: You can amend your application and change the program to a new one. If you currently have an offer to a program and you amend it on your application, you will lose that offer of admission. To avoid losing an offer of admission, we recommend you add a program to your application instead of amending an existing program choice. You can add another program to your OUAC application."
General Admissions,I accidentally declined my offer of admission to the university on the OUAC website. What should I do?,"Please contact the Office of the Registrar and request that the offer of admission be re-posted on the OUAC website. The Office of the Registrar will review your file to ensure you are still admissible to the program. If you are admissible and there is space available, your offer will reappear on OUAC."
General Admissions,I applied to multiple programs at the university. Why is only one offer appearing on the OUAC website?,"Depending on space availability, you may receive an offer to one of your program choices but not the other(s). We review applications on a bi-weekly basis and if you are admissible to the other program choice(s), the offer will appear on the OUAC website at a later date."
General Admissions,What are the requirements to study in an undergraduate program at Ontario Tech University as an international student?,"Generally speaking, international applicants must provide proof of: High school graduation (often stated directly on one’s final high school transcript) English proficiency Having attained the academic subject prerequisites required for the program to which they are applying - these are typically secondary school, senior-level courses of sufficient scope and depth"
Applicant Portal,How do I access my Ontario Tech Applicant Portal?,There are two ways to access your Applicant Portal: Log in by visiting ontariotechu.ca/applicantportal. Visit the Undergraduate Admissions website and select the Applicant Portal link from the main navigation bar.
Applicant Portal,What browser should I use?,"The Ontario Tech Applicant Portal can be accessed using Google Chrome, Mozilla Firefox or Safari."
Applicant Portal,What credentials should I use to access my Ontario Tech Applicant Portal?,"Log in using your Ontario Tech Applicant ID (9 digits: 10xxxxxxx format) provided to you in your application acknowledgement e-mail. The default password is your date of birth (MMDDYY). If you changed your default password, please use the updated password."
Applicant Portal,How do I view my application status in the Applicant Portal?,"Once you've logged in, follow these steps to view your application status: Click on Admissions Portal – Undergraduate . Then click on Application Status."
Applicant Portal,I continue to encounter an authentication error when attempting to access the portal. What should I do?,"If you've followed the above instructions and continue to encounter an authentication error when attempting to access the portal, try clearing your cache or attempt to access the portal via private browsing or Incognito mode. Learn more about browsing in private by viewing these browser-specific instructions: Google Chrome Incognito mode Google Chrome clear cache & cookies Mozilla Firefox Private Browsing Clear cookies and site data in Mozilla Firefox Safari Private Browsing Manage cookies and website data in Safari"
Applicant Portal,How do I reset my Applicant Portal password?,Please contact our IT Service Desk at 905.721.3333.
Applicant Portal,What should I do if I have tried everything and still cannot access my Applicant Portal?,Please contact the IT Service Desk at 905.721.3333 or via e-mail at servicedesk@dc-ot.ca .
Admissions,"I have accepted my offer on OUAC, but when trying to pay the tuition deposit, I receive the following message: ""This site is available for NEW entrants to Ontario Tech only."" What does this mean?","When an offer is accepted on the Ontario Universities' Application Centre (OUAC), it can take approximately 2 to 3 working days for your acceptance to register in our system. Continue to monitor the tuition deposit page during that time period to make your payment. If it has been longer than 2 to 3 working days since accepting your offer, contact us at connect@ontariotechu.ca . Please remember to include your full name and your Ontario Tech student ID number."
Admissions,I have accepted my offer of admission and paid my tuition deposit. What do I do next?,Course registration for the fall and winter semesters takes place at the end of June. Students that are eligible to register will be sent an email with further information closer to this time. Visit our Next Steps website for more information on what you can do to prepare for the start of classes in September.
Admissions,I need to pay my non-refundable tuition deposit - is this covered by OSAP?,"OSAP funding is not released until the beginning of September, once we confirm that you are registered in your classes. As such, the $500 non-refundable tuition deposit is typically not covered by OSAP. The tuition deposit can be paid online via credit card. The deadline to pay this deposit is listed in your conditional offer letter, which is posted to your Applicant Portal ."
Ancillary Fees,What are ancillary fees?,"Ancillary fees are used to provide important services and resources for students. These fees are charged alongside your tuition on your student account. All ancillary fees are approved by both your Student Union and the Board of Governors. Some fees are also voted on by the student body, including your U-Pass and gym membership. All students pay ancillary fees to enable access to services at a lower cost than would be possible on an individual basis. We understand that you may not use all of the available services, and we encourage you to make use of services that you feel will enrich your student experience. To view a breakdown of your ancillary fees, visit the Ancillary fees webpage."
Ancillary Fees,Which ancillary fees can I opt out of?,You have the ability to opt-out of a portion of the health and dental insurance fee by providing proof of preexisting coverage. Find out more about the health and dental insurance opt-out process. You can also choose to opt out of the legal protection program if you wish. Find out more about the legal protection program opt-out process . You have the ability to opt-out of myvirtualdoctor. Find out more about the myvirtualdoctor opt-out process.
Ancillary Fees,Why can’t I opt out of additional ancillary fees?,"Some services and resources are central to the operation of the university and the student experience. These fees are mandatory to ensure access for everyone. Upcoming changes to provincial legislation may allow students to opt out of select ancillary fees in the near future, stay tuned for more information."
Ancillary Fees,Why are more ancillary fee categories listed now compared to previous years?,"We recognize that students want to know where their ancillary fees are going. We have separated some fee categories into several smaller items to provide a more detailed breakdown. These are not new fees and are being presented in this way to provide you with more specific information regarding the services and resources that ancillary fees make possible, and continue to support."
Fees and Payment,What do my tuition and fees pay for? How are they calculated?,"Your fees consist of tuition, compulsory ancillary and compulsory flat fees which are approved by the Board of Governors and the Ontario Tech Student Union. To break down your fees, visit our tuition calculator page . Tuition at Ontario universities is based on four factors: Provincial government policy The university and program Whether the student is considered domestic (Canadian citizen, permanent resident or convention refugee) or international (not a Canadian citizen or permanent resident, or are currently studying or have studied outside of Canada) The student’s year of study"
Fees and Payment,How do I know how much to pay for tuition?,"You are charged tuition and ancillary fees once you have registered in your courses. Your fees are due each semester. Check the Academic Schedule to confirm when fees are due. If you have registered in your courses, follow the steps below to view your outstanding balance: Go to MyOntarioTech . Select your student type: Undergraduate Students, or Graduate Students. Click on My finances and under the Payment and refunds box , select Account details. If prompted, login using your network credentials. To view the fees for each semester, select the term you would like to review."
Fees and Payment,How do I change my international tuition rate to the domestic rate?,"To change your international tuition rate to the domestic rate you must provide satisfactory proof of your status. Submit the Eligibility for Domestic Fees Application form available on your MyOntarioTech account. Go to MyOntarioTech . Select your student type: Undergraduate Students, or Graduate Students. Click on My information and select Change of residency status. Check the posted deadlines and fill out the online form."
Fees and Payment,I have a credit balance on my tuition account. How can I request a refund?,"You can check your account balance on MyOntarioTech: Go to MyOntarioTech . Select your student type: Undergraduate Students or Graduate Students . Click on My finances and under the Payment and refunds box , select Account summary. If prompted, login using your network credentials. To view the fees for each semester, click the View by overview box and select View by term . Review your account details. A refund request form is to be used if you have a credit balance showing on your account (a balance with a negative amount). Credit balances are left on the account to be used towards the next academic term. However, if you are currently attending and require a refund of all or a portion of the credit on your account, you need to submit a refund request form. Processing time for a request is two to three weeks.  During peak periods, the turnaround may be longer.  This form is available on your MyOntarioTech account under Undergraduate Forms. If you do not have a credit balance, please speak with Enrolment Services before submitting this form. Fully withdrawn students, including those who are Suspended or Dismissed, are refunded monthly and do not require a Refund Request form. Only the student responsible for the fees on the account may request a refund. Please note: If you are eligible for a refund, the fastest way to receive it is to sign up for direct deposit. To access and complete our Direct Deposit form: Go to MyOntarioTech . Select your student type: Undergraduate Students or Graduate Students . In the Payment and Refunds box, under Refunds , click on Direct deposit information . If prompted, login using your network credentials. On the Student profile page, click on My direct deposit info and a new direct deposit allocation window will open. Click Add new and input your direct deposit information. Check the authorization textbox and click Save new deposit . The information you entered will be saved as a Prenote status . An email will be sent to your ontariotechu.net email address notifying you to submit the backup document to deposits@ontariotechu.ca for verification (i.e. a copy of a void cheque or a Direct Deposit Authorization form from the bank). Once the backup is verified, the status of your banking information will change to Active . You will be informed once your banking info is verified. Please note: If you are a student on OSAP, your refund must be approved by Student Awards and Financial Aid and may be refunded back to the National Student Loans Service Centre. Approved refunds are paid via direct deposit or TouchNet/PayPath (if your tuition balance was paid by debit or credit card via the Student Account Centre)."
Fees and Payment,How do I complete/update my direct deposit banking information with Ontario Tech?,"To set up your Direct Deposit information online: Go to MyOntarioTech . Select your student type: Undergraduate Students or Graduate Students . In the Payment and Refunds box, under Refunds , click on Direct deposit information . If prompted, login using your network credentials. On the Student profile page, click on My direct deposit info and a new direct deposit allocation window will open. Click Add new and input your direct deposit information. Check the authorization textbox and click Save new deposit . The information you entered will be saved as a Prenote status . An email will be sent to your ontariotechu.net email address notifying you to submit the backup document to deposits@ontariotechu.ca for verification (i.e. a copy of a void cheque or a Direct Deposit Authorization form from the bank). Once the backup is verified, the status of your banking information will change to Active . You will be informed once your banking info is verified."
Fees and Payment,Do we receive an official receipt?,"You can request an official receipt for proof of tuition by completing the Specialized Letter request form . Please note that y ou will be charged a $15 fee and official receipts cannot be used for tax purposes. If you don’t require an official receipt but want a breakdown of your fees, you can view and print your Statement and payment history on MyOntarioTech . To do this Go to MyOntarioTech . Select your student type: Undergraduate Students or Graduate Students . Click on My finances and under the Payment and refunds box , select Statement and payment history. If prompted, login using your network credentials. Review your account summary details and print the document."
Fees and Payment,"I'm not on campus, how can online learning cost the same as in-person?","A blended-learning approach does not mean less instructors, teaching assistants, support services or access - all of us at the university will still be available and accessible to ensure you are successful and have the support you need."
Fees and Payment,What fees am I expected to pay as a co-op student?,"Effective as of the 2023-2024 academic year, co-op students are required to pay an entrance fee, a preparatory course fee and a fee associated with each work term pursued. This applies to both new and continuing students changing from a non-co-op to a co-op program."
Fees and Payment,I entered the co-op program prior to the 2023-24 academic year; am I required to pay all the fees outlined above?,"Students who entered the program prior to the 2023-2024 academic year will not be required to pay an entrance fee, nor will they be required to pay additional fees for previously completed preparatory courses or work terms. All future charges will be based on the new fee structure."
Fees and Payment,Who can I talk to if I have questions about my finances?,"To discuss your university finances with one of our counsellors, please visit our SAFA website or contact us."
Fees and Payment,How can I make a payment towards my student account?,"We offer a variety of payment options, including bank payment, debit/credit card, certified cheque, CIBC International Student Pay,  and more.  For full details, please visit our Payment options page."
Fees and Payment,How do I pay tuition? What if I receive OSAP?,"If you are receiving enough OSAP to cover your tuition, an OSAP deferment will be placed on your account. An OSAP deferment will prevent any holds and late fees on your account until your enrolment has been confirmed and the funding sent to the university. It is your responsibility to check your tuition account and make sure that your OSAP funding has been received, and that fees have been paid in full for each semester. Find out acceptable methods of payment for tuition."
Fees and Payment,I have tried multiple methods to make a payment but none are working. What should I do?,"If you have made several attempts to pay your tuition/fees but they have not been successful, please consider the following options: You can contact your financial institution to investigate what may be causing the error and/or ask them if they can assist you in making a payment (ex. via telephone, at a branch). Alternatively, please contact us so we can assist you further. You can do so by visiting us at the Registrar's Office , emailing connect@ontariotechu.ca or calling 905.721.3190 to speak to an Enrolment Services Representative."
Fees and Payment,What is the deadline to apply for OSAP?,"We recommend you apply for OSAP 8 to 10 weeks before the start of your study period. You can also apply before you are accepted into your program. The online application includes information about all of the OSAP deadlines. If you miss these deadlines, your application will not be processed. Application deadline: Submit your OSAP application no later than 60 days before the end of your study period . Required documentation deadline: Our Student Awards and Financial Aid (SAFA) office must receive your required documents (e.g. proof of income, letter of explanation of your financial situation, signature pages) no later than 40 days before the end of your study period . Review deadline: Our SAFA office must receive all OSAP appeals/review requests no later than 40 days before the end of your study period ."
Fees and Payment,How do I know if I have a deferment or am eligible for one?,"If you are receiving OSAP, you can check your account detail by term and and view your tuition fees on MyOntarioTech . Then, check your OSAP account to see the amount of OSAP funding set to be distributed for the semester. If your OSAP funding is greater than your tuition, and you have submitted all required supporting documents, you do not need to take any further action—we will place a deferment on your account for you. If you have less OSAP funding than tuition, you will need to pay the difference by the payment deadline. Go to MyOntarioTech . Select your student type: Undergraduate Students, or Graduate Students. Click on My finances and under the Payment and refunds box , select Account summary by term - OSAP students . If prompted, login using your network credentials. View your account balance."
Fees and Payment,When are fees due?,"To determine when your fees are visit the Important Dates section in the Academic Calendar(s) . If you are an Undergraduate Student you must review the Undergraduate Academic Calendar. If you are Graduate Student, you must review the Graduate Academic Calendar as your fee deadlines may differ from Undergraduate students. For more information please check out our Fees and payments FAQs or visit our Tuition and Fees webpage."
Fees and Payment,What if I miss the deadline to pay tuition?,"The payment deadline schedule is posted on MyOntarioTech . It is your responsibility to be aware of any important dates that apply to you, and ensure all account fees are paid on time. If your fees are not paid by the deadline, your account will be subject to a late fee. Late fees are charged on a monthly basis of 1.5 per cent interest on the outstanding balance of your tuition account. To view the payment deadline schedule: Go to MyOntarioTech . Select your student type: Undergraduate Students, or Graduate Students. Click on My finances and under the Payment and refunds box , select Payment deadlines . Navigate to the Payment deadlines drop down arrows, then select a semester. Review payment deadline information."
Fees and Payment,Can I pay my tuition with my graduate funding?,"Yes, you can pay your tuition with graduate funding. If you wish to do so, you must submit the graduate student promissory note for deferment of fees and tuition deduction form and supporting documentation to gradfinance@ontariotechu.ca . Review additional information and requirements."
Fees and Payment,"I am completing my program requirements before the end of the semester, will I still have to pay all tuition and fees?","In some cases, students may complete their program requirements before the end of the academic semester. To determine what you are required to pay, contact gradfinance@ontariotechu.ca ."
Financial Aid and OSAP,Why hasn’t my OSAP been confirmed yet?,"Confirmation of enrolment will begin no sooner than 10 days before the start of classes for the upcoming semester. Your enrolment will be confirmed automatically as long as you meet the following criteria: All required supporting documentation in your OSAP account has been submitted and approved. Your program, course load and year of study indicated on your OSAP application match your school file. Once your enrolment has been confirmed, it typically takes 5 to 10 business days for your funding to be released. If your estimated payment release date keeps changing, please contact the Registrar's Office to discuss your application in further detail."
Financial Aid and OSAP,What is the deadline to apply for OSAP?,"We recommend you apply for OSAP 8 to 10 weeks before the start of your study period. You can also apply before you are accepted into your program. The online application includes information about all of the OSAP deadlines. If you miss these deadlines, your application will not be processed. Confirm timelines/deadlines for a Full-Time OSAP application. Confirm timelines/deadlines for a Part-time OSAP application. Stay informed on this academic year’s Important Dates and Deadlines for awards and financial aid."
Financial Aid and OSAP,How do I know if I have an OSAP deferment or am eligible for one?,"You can check your account detail by term on MyOntarioTech and view your tuition fees. Then, check your OSAP account to see the amount of OSAP funding set to be distributed for the semester. If your OSAP funding is greater than your tuition, and you have submitted all required supporting documents, you do not need to take any further action—we will place a deferment on your account for you. If you have less OSAP funding than tuition, you will need to pay the difference by the payment deadline. To view your Account detail by term - OSAP students : Go to MyOntarioTech . Select the Current students box. In the Paying your fees box, select Account detail by term - OSAP students . If prompted, login using your network credentials. Review your account details."
Financial Aid and OSAP,"I applied for a bursary, but I have not heard back yet. What do I do?","General bursary applications will be assessed following the application deadline. All assessments will be completed in the order in which they are received. Prior to this date, applications will not be assessed unless you are facing a financial emergency. If you are experiencing a financial emergency, contact us to book an appointment with a financial aid officer. View your application"
Financial Aid and OSAP,How do I apply for bursary?,"We offer a variety of supports to help you finance your education and time at university, including bursaries, donor awards, scholarships and on-campus employment. Apply now Award applications for the upcoming academic year are posted towards the end of August. In the meantime, you can check out the Student Awards and Financial Aid website for information and criteria for awards that will become available."
Financial Aid and OSAP,"I am considering dropping to part-time studies (one or two courses) for this semester, but my OSAP has already been released. What do I do?",Contact Enrolment Services as soon as possible to discuss how dropping courses will affect your status with OSAP.
Financial Aid and OSAP,I withdrew from my courses and I see that my refund was sent to National Student Loans Service Centre (NSLSC).  Why did I not receive the refund directly?,"If you withdraw from courses and receive either a full or partial refund for the dropped course(s), the refund must be sent back to the National Student Loans Service Centre (NSLSC) to help pay back any funding that was released, for which you are no longer eligible. Make sure to register for an online NSLSC account — this is where you can view the total amount of loan funding that has been released, as well as any payments that have been made."
Financial Aid and OSAP,I would like to take courses during the spring/summer term. How can I receive OSAP for this?,"If you will be studying full-time in the spring/summer semester (three or more courses over the entire semester) and you received full-time OSAP for the fall/winter semesters, you are eligible to complete an OSAP summer extension. This does not require a new online application. The OSAP extension form will be available on MyOntarioTech after spring/summer registration has started and can be found in the Student awards and financial aid box.  Instructions are on the form for students to follow once registered. If you will be studying part-time in the spring/summer semester (one or two courses over the entire semester), you are eligible to apply for part-time OSAP by completing a new application online . Make sure to upload all required supporting documents directly to your OSAP application in order to have your application assessed."
Financial Aid and OSAP,"I am a co-op student trying to select the right program code for my OSAP application. What does ""study term"" and ""work term"" mean?",Study term refers to the terms in which you are enroled in your regular program course requirements. Work term refers to any term in which you are completing your co-op placement.
Financial Aid and OSAP,"I am a co-op student, why does it matter whether I select ""study term"" or ""work term""?","There are different tuition and fees associated with your co-op ""work term"". Selecting the right program code will ensure the correct tuition and fee amounts are reflected in your OSAP assessment."
Financial Aid and OSAP,I will be going on a co-op for a term.  Am I eligible for full time OSAP funding?,"If you are taking a co-op work term you may be eligible for OSAP funding or Continuation of Interest-Free Status (CIFS) on your previous OSAP loans. To qualify, your program must be in a co-op stream where co-op is part of your degree requirements within an approved OSAP funded program. This means you cannot get your degree without completion of a co-op work term.  If your program is not a co-op stream and the co-op or internship is optional, it means there is more than one pathway to obtaining the degree, and in this case you are not eligible for OSAP funding or interest free status. You have two choices if you plan to go on a “required” work term: Apply for full-time OSAP: You can apply to be considered for full-time OSAP funding for your working term.  Your program name can be searched by the word ""work"" and the course load should be entered at 100%.  Students are required to apply for OSAP for every four-month working term (ie. September to December or January to April).  Students are required to report income earned while on their co-op term. Apply for Continuation of Interest-Free Status (CIFS): If you choose not to apply for full time funding, you can be considered to keep previous loans interest-free and out of repayment by applying for Continuation of Interest-Free Status (CIFS) though your OSAP portal .  Students should apply at the start of their co-op work term to avoid interest from accumulating. Our office will review your application and update the NSLSC accordingly. Be sure to submit your CIFS application within the deadline dates on the form. NOTE: Internships are not mandatory degree requirements at Ontario Tech University and are not OSAP or CIFS eligible.  If you are out of full-time studies for more than six months, you will enter repayment at the end of your six-month grace period.  The NSLSC will contact you via email with details on methods of payment.  Please watch for this communication through your account with the NSLSC. Faculties with co-op options are the following: Faculty of Business and Information Technology (FBIT) Faculty of Engineering and Applied Science (FEAS) Faculty of Science (FSc)"
Financial Aid and OSAP,What is an OSAP Micro-credential?,"Micro-credentials are rapid training programs offered by postsecondary education institutions across the province that can help you get the skills that employers need. Micro-credentials help people retrain and upgrade their skills to find new employment. Micro-credentials: Typically take less time to complete than degrees or diplomas. May be completed online and may include on-the-job training. They are often created with input from business sectors, so the skills being taught match employer needs. To find out more, view here: OSAP Micro-credentials"
Financial Aid and OSAP,Where can I find more information/resources about financial assistance?,"Our Student Awards and Financial Aid team is dedicated to helping you achieve financial success throughout your studies. To view Student awards and financial aid options: Go to MyOntarioTech . Select the Current students box. In the Student awards and financial aid box, click any of the options below: View your application Apply for student aid/university works View my student aid University works time sheet External awards OSAP forms OSAP information Further information"
Graduating Students and Convocation,How do I apply to graduate?,"There are four periods throughout the year to apply for graduation. Follow these steps to apply to graduate: Go to MyOntarioTech . Select the Current students box. In the Student records box , select Apply to graduate . Note: Applications will only be available during the three open application periods. Complete and submit the online form."
Graduating Students and Convocation,I missed the deadline to apply to graduate. What should I do?,Contact the Office of the Registrar to see if you are eligible to submit a late application to graduate. Note: There is a $50 application fee for late applications.
Graduating Students and Convocation,When can I get my parchment and/or official transcript?,"Students will be able to pick up their parchment during their convocation ceremony. If you are not attending convocation, you can pick up your parchment after convocation at the Registrar's Office. Visit the Convocation webpage and select your convocation ceremony to determine when your parchment will become available for pick up. If you are unable to pick up your parchment in person, you can request that it be mailed to you. Please note that the courier can take eight weeks from the date of the ceremony. Students can submit a request to receive their Official Transcript (which includes conferral date) once they have received confirmation that their degree has been conferred by academic council. If you have any questions about these processes, please do not hesitate to connect with us."
Graduating Students and Convocation,Do I need tickets for my guests to attend the convocation ceremony?,"Yes, details will be on the convocation web page when announced."
Graduating Students and Convocation,I need a letter of invitation for my guests that are coming to Canada from another country for the convocation ceremony. How do I obtain this letter?,"Follow the instructions on our inviting relatives to visit web page for your guest(s), as you must write this letter yourself. If you apply to graduate during the winter semester, you will receive notification by the end of May regarding the outcome of your application. If you are an international student, you have access to download a Undergraduate verification of enrolment letter which includes your program of study, year level, current status as a student (full-time or part-time), and your expected graduation date. To generate your Undergraduate verification of enrolment letter: Go to MyOntarioTech . Select the Current students box. In the Student records box , select Undergraduate verification of enrolment . If prompted, login using your network credentials. Using the down arrow, select the term year, and then select Submit . Select the blue link labelled Download verification of enrolment to begin the download of the document. Click on the download to open the document."
Grad Finance FAQs and Contacts,How will I know if I am going to receive funding?,"If you receive funding for your graduate studies, your funding package will be included in your offer of admission. This will include information such as the amount of funding you are being offered and the duration of these awards. For more information, visit our graduate funding page ."
Grad Finance FAQs and Contacts,Where can I find information about scholarships?,Review upcoming scholarships and tips for applying .
Grad Finance FAQs and Contacts,Where can I find information about bursaries or donor awards?,"There are a number of donor awards available to you. These awards are a valuable and lasting resource for many of our current students. Once you complete a General Bursary and Donor Award application, you'll be considered for funding. To apply, follow these steps: Under Student Awards and Financial Aid , select apply for student aid/university works. Enter your network ID and password. Enter the applicable term and year, select continue . Select the General Bursary application from the drop-down menu, select continue ."
Grad Finance FAQs and Contacts,"I want to change from full-time to part-time status, how will this affect my current funding?","Continuation of all sources of funding from the university is dependent on maintaining good academic standing, high-quality research performance (where applicable) and availability of funds. If you withdraw, change to part-time status, change your program, change your research topic or supervisor, change your fee status or fail to complete a term, you may no longer be eligible for funding."
Grad Finance FAQs and Contacts,What are the minimum funding levels for research students?,"The university is committed to providing financial support to our graduate students in research-based master’s and doctoral programs. Each program has a minimum funding threshold for full-time students. These minimum levels may be met or exceeded in a given year and are typically offered for the standard length of the program. The minimum funding may be met through various sources of funding and these sources are normally outlined in the offer of funding at the time of admission. For more information, see minimum funding."
Grad Finance FAQs and Contacts,How do I apply for a Research or Teaching Assistantship?,"If you are eligible for a Research or Teaching Assistantship, it will be included in your offer of admission. If you do not receive a Research or Teaching Assistant position, you must contact your graduate program director. For more information, visit the graduate funding page ."
Grad Finance FAQs and Contacts,Where can I find information about Graduate Research Assistantships?,Please visit the graduate funding page .
Grad Finance FAQs and Contacts,Can I have an on-campus job while I am a full-time graduate student?,"Yes, you can!"
Grad Finance FAQs and Contacts,Can I have an on-campus job and still receive graduate funding?,"If you are the recipient of an external award, the agency providing the award may have restrictions on the number of hours (including TA) that you may work. If you exceed this guideline, you risk losing your external funding. Review the appropriate guidelines included in your funding package to learn more."
Grad Finance FAQs and Contacts,Are there restrictions for the number of hours part-time students can work?,There are no restrictions.
Grad Finance FAQs and Contacts,Where can I find my tax receipts?,"Tax receipts for T2202s can be viewed and printed through the MyOntarioTech portal. For questions or concerns, please contact the Office of the Registrar . T4 slips for teaching assistantships and research assistantships can be viewed and printed through MyOntarioTech. For questions or concerns, please contact uoitpayroll@ontariotechu.ca . T4A slips for graduate research assistantships, Dean's Graduate Scholarships, and CIHR, NSERC or SSHRC scholarships and bursaries will be mailed directly, according to your address on file. For questions or concerns, please contact UOITstudentAR@ontariotechu.ca."
Grad Finance FAQs and Contacts,Do I have to pay tax if I am a Teaching or Research Assistant?,"If you do not wish to pay tax as a Teaching or Research Assistant you must complete two TD1, Personal Tax Credits Return forms and submit your documentation to gradfinance@ontariotechu.ca . For more information on TD1 forms, visit the Government of Canada website ."
Grad Finance FAQs and Contacts,"I am an international student, what should I be aware of when it comes to assistantships and work polices?","If you are an international student, you must stop working when you do not meet on-campus and/or off-campus work eligibility . Please contact your International Student Advisor(s) immediately with any questions or concerns."
Grad Finance FAQs and Contacts,Can I waive a TA Assignment?,"Yes, a student can waive their Teaching Assistant Assignment by completing the TA/RA Request to Waive Assignment form. By signing and submitting the Request to Waive form all funds and assigned hours for the semester are waived in full."
Grad Finance FAQs and Contacts,When is tuition due?,Payment of tuition and all ancillary fees is due by the posted payment deadline each term.
